clusters_id,clusters_latitude,clusters_longitude,vin
0,24.486802649177225,117.94326037151895,LBEDMBKD1GZ209333
1,24.363624832941177,117.30550387058825,LBEDMBKD1GZ209333
2,24.4772409,117.93721320000002,LBEDMBKD1GZ209333
3,24.363973805555553,117.31027416666666,LBEDMBKD1GZ209333
4,24.483874442857143,117.9497330142857,LBEDMBKD1GZ209333
5,24.486979633333334,117.94807755,LBEDMBKD1GZ209333
6,24.407064545,117.35157729285716,LBEDMBKD1GZ209333
7,24.490626992000003,117.94014262,LBEDMBKD1GZ209333
8,24.488077541666666,117.95713282500002,LBEDMBKD1GZ209333
9,24.488793837142854,117.93921215714285,LBEDMBKD1GZ209333
10,24.36398465,117.30366317999999,LBEDMBKD1GZ209333
11,24.475062251999997,117.94664232,LBEDMBKD1GZ209333
12,24.50215092166667,117.88937216666666,LBEDMBKD1GZ209333
13,24.363837372,117.32152005999998,LBEDMBKD1GZ209333
0,30.077687773999997,115.56174108,LBEDMBKD2GZ204223
1,35.39268712653061,103.87368810612243,LBEDMBKD2GZ204223
2,35.3822496163158,103.86454829473685,LBEDMBKD2GZ204223
3,35.40227777928571,103.87502705714284,LBEDMBKD2GZ204223
4,36.07372539428572,103.87569119999999,LBEDMBKD2GZ204223
5,36.053148680975596,103.9021484536585,LBEDMBKD2GZ204223
6,36.057388756470594,103.91380629411763,LBEDMBKD2GZ204223
7,36.06560667916667,103.90056304166666,LBEDMBKD2GZ204223
8,36.055216687,103.90122091,LBEDMBKD2GZ204223
9,36.071006987272725,103.86441693636363,LBEDMBKD2GZ204223
10,36.06246557756098,103.90663314878051,LBEDMBKD2GZ204223
11,36.048431476666664,103.90047617777776,LBEDMBKD2GZ204223
12,36.06315283,103.89394141999999,LBEDMBKD2GZ204223
13,36.05036925533333,103.90010698666669,LBEDMBKD2GZ204223
14,36.058337299,103.87825545999999,LBEDMBKD2GZ204223
15,36.05391961400001,103.92133478000001,LBEDMBKD2GZ204223
16,35.38099358285714,103.86000041428572,LBEDMBKD2GZ204223
17,35.36580967333334,103.86218050000001,LBEDMBKD2GZ204223
0,39.09022837130434,112.20085831449278,LBEDMBKD1HZ212945
1,39.085484099886344,112.19860937499995,LBEDMBKD1HZ212945
2,39.089524747272726,112.20510722727272,LBEDMBKD1HZ212945
0,32.550965054210515,117.24977451578945,LBEDMBKD5HZ213127
1,31.30895090333333,121.3457588,LBEDMBKD5HZ213127
2,31.31170742055555,121.37448420000003,LBEDMBKD5HZ213127
3,32.559811578,117.24963894,LBEDMBKD5HZ213127
4,30.937926679999997,120.89462557272728,LBEDMBKD5HZ213127
5,34.44265325580644,113.9431837612903,LBEDMBKD5HZ213127
6,34.45242615790698,113.93807928372094,LBEDMBKD5HZ213127
7,34.44634105888889,113.94018607407406,LBEDMBKD5HZ213127
8,34.44327330928572,113.93067564285715,LBEDMBKD5HZ213127
9,34.437370006,113.99630984000001,LBEDMBKD5HZ213127
10,34.412195391428575,114.20631834999999,LBEDMBKD5HZ213127
11,34.50533669599999,113.92467192,LBEDMBKD5HZ213127
12,34.41251065055556,114.20840042777779,LBEDMBKD5HZ213127
0,23.28226914714286,113.31696455714288,LBENUBKD3HS015112
0,43.78193432249999,87.59940153325002,LBEDMBKDXHZ213074
1,43.853263228888885,87.60413491444446,LBEDMBKDXHZ213074
0,37.26164473388889,111.79529371666666,LBENUBKD4HS000862
1,37.302230762499995,111.7939961,LBENUBKD4HS000862
0,24.8995388225926,108.57581471481483,LBEDMBKD9HZ210098
1,24.890758328333334,108.52432496666665,LBEDMBKD9HZ210098
2,23.03545210090909,113.20268523939393,LBEDMBKD9HZ210098
3,23.097474741818186,113.1779554909091,LBEDMBKD9HZ210098
0,25.094102174782616,104.91009363478261,LBEDMBKD7GZ208445
1,25.09378736509615,104.90025089326925,LBEDMBKD7GZ208445
2,25.2986924255,104.88970924499999,LBEDMBKD7GZ208445
3,25.096212305679025,104.91273056296295,LBEDMBKD7GZ208445
4,25.10188566875,104.9142902625,LBEDMBKD7GZ208445
5,25.202766075517246,104.92713813103447,LBEDMBKD7GZ208445
6,25.100130697142852,104.91594192857143,LBEDMBKD7GZ208445
7,25.140449070000003,104.92077124999999,LBEDMBKD7GZ208445
8,25.29429166375,104.88436871249999,LBEDMBKD7GZ208445
9,25.099247957499998,104.9186098416667,LBEDMBKD7GZ208445
10,25.20080237571429,104.92266384285712,LBEDMBKD7GZ208445
11,25.101185645,104.91090875833333,LBEDMBKD7GZ208445
12,25.120383885999995,104.92542662000001,LBEDMBKD7GZ208445
13,25.185822218333332,104.90818695,LBEDMBKD7GZ208445
14,25.105727708,104.91860704000001,LBEDMBKD7GZ208445
0,31.143159101927733,120.65458863975897,LBEDMBKD4HZ211739
1,31.209260406400002,120.65036642400004,LBEDMBKD4HZ211739
2,32.638099777499995,120.205645525,LBEDMBKD4HZ211739
3,31.1007315575,120.64993132499998,LBEDMBKD4HZ211739
4,31.107946303999995,120.67506828,LBEDMBKD4HZ211739
5,31.09797757,120.65590053999999,LBEDMBKD4HZ211739
6,31.144993022,120.64032904000001,LBEDMBKD4HZ211739
7,32.64810845666667,120.08855254444445,LBEDMBKD4HZ211739
0,34.80192129129032,114.24570456129037,LBEDMBKD3HZ209738
1,34.786695726699016,114.33240246019416,LBEDMBKD3HZ209738
2,34.793405549999996,114.38231465714286,LBEDMBKD3HZ209738
3,34.759492216999995,114.37438273000001,LBEDMBKD3HZ209738
4,34.80406411523809,114.220320252381,LBEDMBKD3HZ209738
5,34.79704559,114.31799838333332,LBEDMBKD3HZ209738
6,34.797366823333334,114.33051742499998,LBEDMBKD3HZ209738
7,34.794721020000004,114.29704047999999,LBEDMBKD3HZ209738
8,34.76269458166667,114.30552203333332,LBEDMBKD3HZ209738
9,34.776347774,114.32042552,LBEDMBKD3HZ209738
0,22.15621682308549,113.4781714286246,LBEDMBKD7GZ209336
1,22.174429678999996,113.49847015,LBEDMBKD7GZ209336
2,22.211642911428573,113.52934392857142,LBEDMBKD7GZ209336
3,22.225877771666664,113.51867588333334,LBEDMBKD7GZ209336
4,22.226351566842105,113.49782408421054,LBEDMBKD7GZ209336
5,22.22511084833334,113.50761355833333,LBEDMBKD7GZ209336
